English,Nepali,Maths,Science,Social
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neB,maA,scB,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neB,maB,scC,soC
enB,neC,maB,scC,soB
enC,neC,maB,scC,soD
enA,neB,maB,scB,soA
enA,neC,maB,scC,soB
enA,neA,maA,scB,soB
enB,neC,maC,scC,soC
enA,neA,maA,scA,soA
enA,neB,maA,scB,soB
enB,neA,maB,scC,soA
enA,neA,maA,scA,soA
enA,neB,maB,scC,soB
enA,neB,maA,scB,soA
enB,neD,maC,scD,soC
enA,neB,maB,scB,soA
enA,neC,maB,scC,soB
enB,neC,maB,scC,soB
enB,neC,maA,scC,soC
enA,neB,maB,scC,soB
enC,neC,maC,scC,soB
enA,neB,maB,scC,soB
enA,neB,maA,scB,soA
enA,neC,maA,scB,soB
enB,neC,maB,scC,soC
enB,neC,maC,scC,soB
enB,neC,maA,scC,soB
enA,neA,maA,scA,soA
enB,neC,maA,scC,soC
enA,neB,maA,scC,soB
enC,neD,maC,scD,soC
enC,neC,maB,scC,soC
enB,neD,maB,scC,soC
enB,neD,maC,scC,soC
enA,neA,maA,scB,soA
enC,neD,maC,scD,soC
enB,neC,maB,scB,soB
enC,neD,maC,scD,soC
enB,neB,maA,scA,soB
enC,neD,maB,scD,soD
enA,neA,maA,scA,soB
enA,neC,maA,scB,soA
enC,neD,maC,scC,soD
enA,neA,maA,scA,soA
enB,neC,maA,scB,soB
enB,neC,maB,scC,soC
enC,neC,maC,scC,soC
enB,neC,maA,scD,soB
enB,neC,maA,scC,soB
enC,neC,maC,scC,soC
enA,neC,maA,scC,soB
enA,neC,maA,scB,soB
enA,neB,maA,scB,soA
enB,neC,maB,scB,soC
enB,neB,maA,scB,soB
enA,neB,maA,scA,soA
enA,neC,maB,scB,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neB,maA,scA,soA
enA,neA,maA,scB,soA
enA,neB,maA,scA,soA
enB,neB,maA,scA,soA
enA,neB,maA,scB,soA
enA,neB,maB,scB,soA
enB,neB,maA,scB,soA
enA,neB,maA,scB,soA
enA,neC,maA,scB,soA
enB,neB,maA,scB,soA
enB,neB,maA,scB,soA
enB,neB,maB,scB,soA
enB,neC,maA,scB,soA
enB,neC,maB,scB,soA
enB,neB,maB,scB,soB
enB,neC,maA,scC,soB
enB,neC,maB,scB,soB
enB,neB,maB,scC,soB
enB,neC,maB,scC,soB
enB,neC,maA,scC,soB
enB,neB,maB,scC,soB
enB,neC,maB,scC,soB
enC,neC,maB,scC,soB
enB,neC,maC,scC,soC
enB,neC,maC,scC,soC
enB,neC,maB,scC,soB
enC,neD,maB,scC,soB
enB,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maB,scC,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neB,maA,scA,soA
enB,neB,maA,scB,soA
enB,neB,maA,scB,soA
enB,neA,maA,scB,soB
enB,neB,maA,scB,soA
enB,neB,maA,scB,soB
enB,neB,maA,scA,soB
enA,neB,maA,scB,soB
enB,neB,maB,scB,soB
enB,neB,maA,scB,soB
enB,neC,maA,scB,soB
enB,neB,maA,scC,soB
enB,neC,maB,scC,soC
enB,neC,maB,scC,soB
enC,neC,maA,scC,soC
enB,neC,maB,scC,soB
enC,neC,maB,scC,soC
enC,neC,maB,scC,soC
enC,neC,maC,scC,soC
enB,neC,maB,scC,soB
enC,neC,maC,scC,soC
enC,neC,maB,scC,soC
enB,neC,maB,scC,soB
enC,neD,maC,scD,soD
enC,neC,maA,scC,soC
enD,neD,maD,scD,soD
enB,neC,maA,scC,soB
enB,neD,maC,scC,soB
enB,neC,maD,scC,soC
enD,neC,maD,scC,soC
enC,neC,maD,scC,soC
enB,neC,maB,scC,soB
enC,neD,maD,scC,soC
enA,neA,maA,scA,soA
enB,neC,maC,scC,soB
enA,neB,maC,scA,soA
enB,neC,maB,scC,soB
enB,neC,maC,scC,soA
enB,neC,maD,scC,soC
enB,neC,maC,scC,soC
enB,neC,maC,scC,soA
enC,neC,maD,scC,soC
enA,neC,maB,scA,soA
enA,neA,maA,scA,soA
enB,neC,maD,scC,soC
enA,neA,maB,scB,soA
enB,neC,maB,scA,soA
enB,neB,maC,scB,soB
enC,neC,maD,scC,soB
enC,neC,maC,scC,soB
enB,neC,maC,scC,soA
enA,neA,maC,scA,soA
enB,neC,maC,scB,soB
enA,neA,maB,scA,soA
enB,neC,maC,scB,soB
enB,neD,maD,scD,soC
enB,neC,maC,scC,soB
enA,neB,maC,scB,soA
enB,neB,maB,scB,soA
enB,neB,maC,scC,soA
enA,neB,maB,scA,soA
